id,title,description,level,duration,category,certificate_type,image_url,url
l31la3mKEe-zFg7heHyXOQ,Getting started with the Vertex AI Gemini 1.5 Pro Model,"This is a self-paced lab that takes place in the Google Cloud console. This lab will provide an introductory, hands-on experience with Generative AI on Google Cloud.",BEGINNER,1 hour 30 minutes,Cloud Computing,VerifiedCert,,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr
OK4S2mhbEfCCGA7lN4veKQ,SPSS: Apply & Interpret Logistic Regression Models,"This course provides a practical and applied introduction to logistic regression and supervised learning using IBM SPSS Statistics. Designed for learners seeking to build analytical skills in predictive modeling, the course emphasizes both conceptual understanding and tool-based execution.

Through step-by-step instruction, learners will identify key components of logistic regression, configure data within SPSS, and construct predictive models using real-world case studies. They will analyze model outputs, evaluate predictor significance, and interpret statistical results to make informed decisions.

The course integrates Excel-based logistic modeling and reinforces learning through guided examples such as heart pulse analysis and smoking behavior classification. By the end, learners will be able to confidently apply logistic regression methods to structured datasets, assess model performance using statistical evidence, and communicate findings through SPSS-generated outputs.",Not Specified,,Data Analysis,VerifiedCert,,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models
mukrVoSKEe-L8RKezlgehQ,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,This is a self-paced lab that takes place in the Google Cloud console. Learn how to secure a Compute Engine instance with Identity-Aware Proxy (IAP).,INTERMEDIATE,1 hour 30 minutes,Cloud Computing,VerifiedCert,,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml
ecoAPNowEe22LAo38arT7w,Overcoming  Challenges in Self and Society,"This course is an personal development and academic voyage that delves into the heart of human endurance and societal fortitude. It embarks on an exploratory mission to dissect the essence of adversity, weaving through personal, societal, and environmental intricacies. Learners will cultivate a nuanced understanding of resilience as a dynamic force and its transformative impact on the self and society.

Distinguished by its interdisciplinary framework, the course fuses elements of psychology, sociology, spirituality, and ecology. It begins with a deep dive into the historical and philosophical underpinnings of adversity, engaging with diverse narratives and examining the resilience of notable figures and civilizations. The journey progresses to unveil the psychological anatomy of resilience, where learners will dissect concepts like grit and growth mindset, discerning their role in personal development and societal progress.

As the course advances, it guides learners through the spiritual and humanistic dimensions of resilience, drawing on Renaissance humanism and ancient wisdom. This module offers a kaleidoscopic view of inner strength, inviting a renaissance of personal growth. In the digital realm, students will explore how resilience manifests and adapts in the face of technological evolution and global interconnectedness.

Concluding with a global perspective, the course navigates the role of resilience in societal transformation, from historical upheavals to modern challenges. Learners will emerge from this course not just as repositories of knowledge, but as empowered individuals equipped to foster resilience in themselves and ignite change within their communities.",BEGINNER,"4 weeks of study, 2-4 hours a week",Personal Development,"VerifiedCert, Specialization",,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society
69Bku0KoEeWZtA4u62x6lQ,Gamification,"Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively. For additional information on the concepts described in the course, you can purchase Professor Werbach's book For the Win: How Game Thinking Can Revolutionize Your Business in print or ebook format in several languages.",Not Specified,4-8 hours/week,Design And Product,VerifiedCert,,https://www.coursera.org/learn/gamification
hOzhxVNuEfCW8Q55q1kSNQ,CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,"This course is meticulously designed for cybersecurity professionals eager to enhance their skills in identifying, analyzing, and mitigating vulnerabilities. Through hands-on lessons, you'll gain the expertise to implement effective vulnerability scanning methods, prioritize risks, and recommend strategic controls to protect against potential threats. Equip yourself with the knowledge to not only understand vulnerabilities but also to proactively defend against them, ensuring your organization's security posture remains robust and resilient.",INTERMEDIATE,4h 30m,Security,"VerifiedCert, Specialization",,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z
0HiU7Oe4EeWTAQ4yevf_oQ,Dealing With Missing Data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including R®, Stata®, and SAS®.",Not Specified,"4 weeks of study, 1-2 hours/week",Data Analysis,"VerifiedCert, Specialization",,https://www.coursera.org/learn/missing-data
sI_-QEBiEemtDRLx7Ne8jg,Unordered Data Structures,"The Unordered Data Structures course covers the data structures and algorithms needed to implement hash tables, disjoint sets and graphs. These fundamental data structures are useful for unordered data. For example, a hash table provides immediate access to data indexed by an arbitrary key value, that could be a number (such as a memory address for cached memory), a URL (such as for a web cache) or a dictionary. Graphs are used to represent relationships between items, and this course covers several different data structures for representing graphs and several different algorithms for traversing graphs, including finding the shortest route from one node to another node. These graph algorithms will also depend on another concept called disjoint sets, so this course will also cover its data structure and associated algorithms.",Not Specified,,Software Development,"VerifiedCert, Specialization",,https://www.coursera.org/learn/cs-fundamentals-3
rrZX06kxEeyjPxJkzIUqCw,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,"This is a self-paced lab that takes place in the Google Cloud console.

In this lab, you migrate MySQL data from an Amazon RDS instance for MySQL to Cloud SQL for MySQL using a one-time Database Migration Service job and an IP allowlist for connectivity. After you create and run the migration job, you confirm that the data have been successfully migrated to your Cloud SQL for MySQL instance.",ADVANCED,1.5 hours,Cloud Computing,"VerifiedCert, Specialization",,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm
5zjIsJq-EeW_wArffOXkOw,Vital Signs: Understanding What the Body Is Telling Us,"The vital signs – heart rate, blood pressure, body temperature, respiration rate, and pain – communicate important information about the physiological status of the human body. In this six-part course we explore the anatomy and physiology underlying the vital signs so that you will develop a systematic, integrated understanding of how the body functions. Relevant body systems are reviewed including cardiovascular and respiratory, followed by explanations of how the function of these systems affects vital signs. We discuss normal ranges, normal variants, and the mechanisms that underlie changes in the objective measurement of vital signs. The course also includes demonstrations of appropriate techniques for measuring vital signs in yourself and others.

The course is designed for a broad, general audience but will be particularly interesting for individuals working in healthcare, those considering a career as a healthcare professional, lay caregivers, those with an interest in personal health and fitness, or anyone who simply wants to understand how the body functions.",Not Specified,3-5 hours/week,Patient Care,VerifiedCert,,https://www.coursera.org/learn/vital-signs
