id,title,description,instructor,price,duration,category,url,source
skilllane_7743,HPT : High-Performing Team สร้างทีมสำเร็จสูง ,"คำอธิบายคอร์สออนไลน์  ในโลกการทำงานทุกวันนี้ หัวหน้าทีมไม่ได้แค่ต้องบริหารงาน แต่ยังต้อง “ขับเคลื่อนคน” ที่หลากหลาย ทั้ง Gen ความคิด และแรงจูงใจ แต่หลายครั้งแม้จะพยายามอย่างดีที่สุด ทีมก็ยังไม่ไปทางเดียวกัน บางคนทำงานเก่งแต่ไม่ร่วมแรง บางคนตั้งใจแต่ขาดเป้าหมายที่ชัดเจน ขณะที่หัวหน้าทีมเองก็รู้สึกเหมือนต้อง “แบกและลากทีม” มากกว่า “นำทีม” ทั้งที่ภาระงานของตัวเองก็ล้นอยู่แล้ว สิ่งเหล่านี้ทำให้หลายทีมดูเหมือนยุ่ง แต่กลับไม่ก้าวหน้าเท่าที่ควร   High-Performing Team (HPT)  จึงถูกออกแบบมาเพื่อหัวหน้าทีมยุคใหม่ที่อยากเปลี่ยนจาก “จัดการ” ไปสู่ “ขับเคลื่อน” ในคอร์สออนไลน์ความยาว 1 ชั่วโมงครึ่งนี้ คุณจะได้มองเห็นภาพใหม่ของการเป็นผู้นำทีม เข้าใจกลไกสำคัญที่ทำให้ทีมเดินหน้าได้จริง และค้นพบจุดเริ่มต้นของการพัฒนาทีมอย่างมีระบบ ผ่านแนวคิดและเครื่องมือที่เรียบง่ายแต่ทรงพลัง ที่สำคัญคือมีฟีเจอร์ “ACT NOW”  — ตัวช่วยให้คุณสามารถลงมือปรับ ใช้จริงกับทีมของคุณได้ทันทีหลังเรียนจบ  เมื่อเข้าใจหลักการและได้ลองขยับจริง คุณจะเห็นความเปลี่ยนแปลงชัดเจนทั้งในมิติของ ความชัดเจนในทิศทาง (Clarity) ความสามารถในการทำงานร่วมกัน (Capability) และ ความเชื่อมโยงภายในทีม (Connection) — ซึ่งเป็นสามแรงขับที่เปลี่ยนทีมธรรมดาให้กลายเป็นทีมสมรรถนะสูงที่สร้างผลงานได้อย่างต่อเนื่องและยั่งยืน  
  ประโยชน์ที่ผู้เรียนจะได้รับ  1. เปลี่ยนทัศนคติและมีมุมมองที่ทำให้นำทีมได้สำเร็จ 2. เห็นภาพรวมของการสร้างทีมผลลัพธ์สูงอย่างเป็นระบบ 3. สื่อสารเป้าหมายได้ชัดเจน และมีพลังขับเคลื่อนทีม 4. ประเมินความสามารถของทีมและสร้างวิธีพัฒนา 5. สร้างระบบในการติดตามงาน และสร้างนิสัยการทำงานที่ดีให้ทีม 6. สร้างบรรยากาศไว้วางใจและเปิดใจพูดคุย 7. ประเมินสาเหตุและแก้ปัญหาในทีมด้วยเครื่องมือ 3C- Clarity, Capability, Connection  
  ใครควรเรียนคอร์สออนไลน์นี้  - หัวหน้าทีม หัวหน้ากลุ่ม - ผู้จัดการทีม - ผู้นำโปรเจคท์ ที่ต้องสร้างความร่วมมือระหว่างทีม  
  ผู้เรียนต้องมีความรู้อะไรมาก่อน  ไม่จำเป็นต้องมีพื้นฐานมาก่อน แต่ควรมีประสบการณ์การทำงานเป็นทีมในองค์กร ที่ต้องส่งมอบผลงานตามความคาดหวัง",อิศรา สมิตะพินทุ (อ.เอ้) (ผู้ก่อตั้งบริษัท อินสปายรา จำกัด และผู้นำด้าน Action Learning ),4990 THB,84 mins,General,https://www.skilllane.com/courses/high-performing-team,SkillLane
skilllane_7860,n8n AI Agent & OCR Automation สำหรับฝ่ายบัญชี การเงิน,"คอร์สนี้ออกแบบมาเพื่อให้คุณสร้างระบบอัตโนมัติที่ฉลาดและใช้งานได้จริง ด้วยการผสาน n8n, OCR และ AI Agent เพื่อจัดการข้อมูล เอกสาร สลิปธนาคาร และกระบวนการทางบัญชี–การเงินแบบอัตโนมัติครบวงจร ตั้งแต่การติดตั้ง เชื่อมต่อ API วิเคราะห์ข้อมูล ไปจนถึงสร้าง Workflow ที่ช่วยลดงานซ้ำซ้อน เพิ่มประสิทธิภาพ และต่อยอดสู่การเป็น AI Workflow Engineer หรือ Automation Specialist ในองค์กรยุค Digital Transformation ได้อย่างมั่นใจ   เนื้อหาหลักที่จะได้เรียน  1: n8n Setup &amp; Configuration - ติดตั้งและตั้งค่า n8n บนทุกระบบ เชื่อมต่อ Google, OpenAI, และ API ต่าง ๆ - ทดลองสร้าง workflow แรกและจัดการอัปเดต/สำรองข้อมูลได้เอง  2: OCR Extract &amp; Automation  - ใช้ Mistral AI ทำ OCR เอกสารและสลิปธนาคารอัตโนมัติ - ประมวลผลหลายไฟล์พร้อมกันและบันทึกผลลง Google Sheet แบบเรียลไทม์  3: AI Agent Workflow  - สร้าง AI Agent วิเคราะห์ข้อมูลธุรกิจและงบการเงิน - ออกแบบระบบแจ้งเตือนอัตโนมัติ และประยุกต์ใช้ในงานองค์กรจริง   คอร์สนี้เหมาะกับใคร  - นักวิเคราะห์ข้อมูล / นักวิเคราะห์ธุรกิจ ต้องการใช้ AI และระบบอัตโนมัติช่วยลดงานซ้ำซ้อน - สายบัญชี การเงิน และธุรการ อยากสร้างระบบ OCR ดึงข้อมูลจากเอกสารและสลิปอัตโนมัติ - นักพัฒนา / ผู้เชื่อมระบบ (Developer / Integrator) ต้องการออกแบบ workflow ที่เชื่อมต่อ API และ AI -	ผู้เริ่มต้นสาย No-Code / สนใจ AI Automation ไม่มีพื้นฐานเขียนโค้ดก็เรียนได้ สร้างระบบ AI ได้จริง -	องค์กรที่มุ่งสู่ Digital Transformation ต้องการนำ n8n ไปปรับใช้ในงานจริงภายในองค์กร   ประโยชน์ที่จะได้รับ  -	ติดตั้งและใช้งาน n8n ได้ทั้งแบบ Local และ Cloud -	เข้าใจการเชื่อมต่อ API เช่น Google, OpenAI, Mistral -	สร้างระบบ OCR อัตโนมัติ สำหรับเอกสารธุรกิจ -	พัฒนา AI Agent วิเคราะห์ข้อมูลและช่วยตัดสินใจ - มี Template Workflow พร้อมใช้งานจริงในองค์กร -	สร้างพื้นฐานสู่การเป็น “AI Workflow Engineer” หรือ “Automation Specialist”",ดร.อมรเทพ ทองชิว (นักวิจัยข้อมูล วิทยากรด้านการวิเคราะห์ข้อมูล ประสบการณ์มากกว่า 15 ปี),0 THB,243 mins,General,https://www.skilllane.com/courses/n8n-OCR-Automation,SkillLane
skilllane_3981,AutoCAD เขียนแบบเครื่องกลเบื้องต้น,"คำอธิบายคอร์สออนไลน์  AutoCAD เป็นโปรแกรมที่สามารถใช้ทำงานได้หลากหลายสายงาน โดยเฉพาะอย่างยิ่ง สายงานเครื่องกล คอร์ส AutoCAD เขียนแบบเครื่องกลเบื้องต้น เป็นคอร์สเรียนที่ถูกออกแบบมาให้ผู้สนใจงานเขียนแบบเครื่องกล ชิ้นส่วนเครื่องกล ได้เรียนรู้เพื่อสร้างเสริมทักษะความสามารถให้ได้ในระดับทำงานได้ โดยท่านมีเพียงทักษะการใช้งาน AutoCAD ขั้นพื้นฐานมาก่อนเท่านั้น 
  ประโยชน์ที่ผู้เรียนจะได้รับ  - เรียนรู้เทคนิคการมองภาพฉาย (Projection view) ทั้งแบบ 1st angle และ 3rd angle - เรียนรู้การเขียนภาพฉายเบื้องต้น (Basic projection drawing) ทั้งแบบ 1st angle และ 3rd angle - เรียนรู้เทคนิคการตั้งค่าโปรแกรม AutoCAD ที่จำเป็นต้องใช้ในงานเขียนแบบเครื่องกลที่ใช้หน่วย มิลลิเมตร - เรียนรู้การตีความหมายของงานที่ได้รับ - เรียนรู้เทคนิคการเขียนภาพแยกชิ้น ภาพฉายขอบชิ้นส่วนที่จำเป็นต้องเขียน - เรียนรู้เทคนิคการเขียนภาพประกอบ (Assembly drawing) - เรียนรู้การตั้งค่าไดเมนชั่นสไตล์ยแบบเอนโนเทชั่น (Annotative Dimension style)  - เรียนรู้การใช้งาน AutoCAD Layout - เรียนรู้การปริ้นต์แบบ หรือ พล็อตแบบ (Plot) ด้วยวิธีการ Publish 
  ใครควรเรียนคอร์สออนไลน์นี้  ผู้เกี่ยวข้องกับการออกแบบ เขียนแบบ หรือทำงานที่ต้องมีการอธิบายด้วยแบบวิศวกรรม สถาปัตยกรรม ไม่ว่าจะเป็นวิศวกร สถาปนิก นักออกแบบตกแต่งภายใน ผู้รับเหมาก่อสร้างทุกสายงาน ที่สำคัญคือนักศึกษาที่กำลังเรียนอยู่ในสถาบันการศึกษาที่เกี่ยวข้อง ต้องมีความสามารถด้านการใช้โปรแกรม AutoCAD ในระดับทำงานได้ แล้วจะหางานทำง่าย รายได้ดี 
  ผู้เรียนต้องมีความรู้อะไรมาก่อน  ผู้เรียนต้องเคยผ่านการเรียนคอร์ส AutoCAD 2D สำหรับผู้เริ่มต้น หรือ มีพื้นฐานการใช้งาน AutoCAD มาพอสมควร",รัฐวิสุทธิ์ กล่อมจิตต์ (วิทยากรและที่ปรึกษาทางด้านเทคนิคการใช้ AutoCAD ในการทำงาน),2990 THB,842 mins,General,https://www.skilllane.com/courses/AutoCAD-for-Mechanical,SkillLane
skilllane_7726,สร้างโมเดล 3D อย่างมืออาชีพ ด้วย AutoCAD ฉบับเริ่มต้น,"คำอธิบายคอร์สออนไลน์  คอร์ส สร้างโมเดล 3 มิติ อย่างมืออาชีพ ด้วย AutoCAD 3D ฉบับเริ่มต้น เป็นคอร์สเรียนออนไลน์ที่สร้างขึ้นจากการสอนจริงในห้องเรียนมาแล้วมากกว่า 10ปี เน้นสร้างความเข้าใจอย่างลึกซึ้งตั้งแต่ก้าวแรก ผู้สอนได้เรียบเรียงเนื้อหาที่สำคัญที่จะต้องเรียนรู้เพื่อสร้างทักษะและพัฒนาทักษะอย่างยั่งยืน ความสอดคล้องกันของเนื้อหาที่สอนจริงมาแล้ว จะช่วยสร้างทักษะที่ดีแก่ผู้เรียน   ประโยชน์ที่ผู้เรียนจะได้รับ  - เข้าใจแนวคิด วิธีคิดเกี่ยวกับการใช้งาน AutoCAD 2D และ 3D - สามารถรู้ เข้าใจ และลงมือทำการปรับแต่งโปรแกรม AutoCAD 3D เพื่อความเหมาะสมในการทำงาน - เข้าใจระบบแกน 3มิติ (X,Y,Z) - เข้าใจและสามารถควบคุมมุมมองที่เหมาะสมได้ - สามารถเรียนรู้ทำความเข้าใจคำสั่งในการสร้างโมเดล 3 มิติ ขั้นพื้นฐาน - สามารถเรียนรู้และเชื่อมโยงคำสั่งเพื่อสร้างโมเดล 3 มิติ ที่ซับซ้อนมากขึ้น   ใครควรเรียนคอร์สออนไลน์นี้   1. ผู้ที่ใช้ AutoCAD 2D อยู่แล้ว แต่อยากอัปสกิลเป็น 3D  สำหรับผู้ที่เขียนแบบ 2D มานานและอยาก “เห็นภาพงานในมิติจริง” เหมาะกับผู้ที่ต้องการนำเสนอแบบให้ลูกค้าหรือหัวหน้าเข้าใจง่ายขึ้น ตัวอย่างอาชีพ: Draftsman, Designer, วิศวกรโยธา, วิศวกรเครื่องกล  2. มือใหม่ที่ไม่เคยทำงาน 3D มาก่อน  ไม่จำเป็นต้องมีพื้นฐาน 3D ผู้เรียนจะเริ่มจากคำสั่งพื้นฐาน เช่น BOX, CYLINDER, EXTRUDE เหมาะกับนักศึกษา, ผู้เริ่มต้นสายเขียนแบบ, หรือคนที่อยากเข้าใจการปั้นโมเดลเบื้องต้น  3. ช่างเทคนิค – ผู้รับเหมา – เจ้าของกิจการ  เหมาะกับช่างที่ต้องการใช้ AutoCAD สร้างภาพ 3D เพื่ออธิบายงานให้ลูกค้า เช่น งานตกแต่งภายใน, งานโครงสร้าง, งานเครื่องกล, งานระบบท่อ, งานเหล็ก ฯลฯ สามารถใช้โมเดลช่วยประมาณวัสดุและนำเสนอผลงานก่อนผลิตจริง  4. นักเรียน / นักศึกษา สาขาเทคนิคและวิศวกรรม  เหมาะสำหรับผู้เรียนในระดับ ปวช., ปวส., ปริญญาตรี ที่เรียนวิศวกรรมหรือสถาปัตย์ ช่วยให้เข้าใจการเชื่อมโยงระหว่างแบบ 2D และการสร้างโมเดล 3D เพื่อใช้ในรายวิชา เป็นพื้นฐานต่อยอดสู่โปรแกรมอื่น เช่น Revit, Inventor, หรือ Fusion 360  5. ผู้ที่อยากสร้างผลงาน Portfolio ด้านการออกแบบ  ผู้เรียนสามารถสร้างชิ้นงาน 3D ของตนเองเพื่อใช้สมัครงาน ใช้ต่อยอดสร้างภาพ Render หรือนำไปใช้ในงานพรีเซนต์กับลูกค้า   ผู้เรียนต้องมีความรู้อะไรมาก่อน  คอร์สนี้เหมาะสำหรับทุกคนที่ใช้คอมพิวเตอร์ได้ ไม่จำเป็นต้องมีพื้นฐาน 3D มาก่อน แต่ถ้ามีพื้นฐาน AutoCAD 2D นิดหน่อยจะยิ่งเรียนได้เร็วขึ้น",รัฐวิสุทธิ์ กล่อมจิตต์ (วิทยากรและที่ปรึกษาทางด้านเทคนิคการใช้ AutoCAD ในการทำงาน),1490 THB,470 mins,General,https://www.skilllane.com/courses/AutoCAD-3D-basic,SkillLane
skilllane_7221,เคล็ดลับออมเงิน ฉบับคนเริ่มทำงาน,สร้างความรู้ความเข้าใจเกี่ยวกับแนวทางการวางแผนออมเงิน การสำรวจการใช้จ่ายผ่านการจดบันทึกรับ-จ่าย การตั้งเป้าหมายตามหลัก SMART รวมถึงแนะนำการออมและการลงทุนผ่านตัวช่วยการลงทุนประเภทต่าง ๆ  สอนโดย คุณบรรพต ธนาเพิ่มสุข และคุณพัชชา เฮงษฎีกุล,SET Instructor (None),0 THB,66 mins,General,https://www.skilllane.com/courses/SET-WMD1012,SkillLane
skilllane_7707,ญี่ปุ่นออนไลน์ ตีสนิท N2-04,"คำอธิบายคอร์สออนไลน์  คอร์สตีสนิท N2-04 เป็นคอร์สต่อเนื่องจากคอร์สตีสนิท N2-01, คอร์สตีสนิท N2-02 และคอร์สตีสนิท N2-03 เหมาะสำหรับผู้ที่สอบผ่าน JLPT ระดับ N3 หรือเทียบเท่ามาแล้วภายในคอร์สจะพบกับรายละเอียดของไวยากรณ์ระดับ N2 ที่มีการอธิบายวิธีการใช้งาน การเชื่อมต่อประโยค และตัวอย่างประโยคที่ทำให้เห็นภาพการใช้งานไวยากรณ์ได้อย่างเข้าใจง่าย ๆ อีกทั้งยังมีแบบฝึกหัดหลากหลายรูปแบบ ให้ทำในระหว่างเรียนเป็นจำนวนมาก ไม่ว่าจะเป็นแบบฝึกหัดไวยากรณ์ การอ่าน และการฟัง ซึ่งแบบฝึกหัดในคอร์สนี้ ใกล้เคียงกับข้อสอบจริง 
  ประโยชน์ที่ผู้เรียนจะได้รับ  - เข้าใจลักษณะเด่นของแต่ละไวยากรณ์ - เข้าใจความแตกต่างของไวยากรณ์ที่แปลเหมือนกันได้ - เข้าใจวิธีการเลือกคำตอบผ่านการทำแบบฝึกหัด   ใครควรเรียนคอร์สออนไลน์นี้  - ผู้ที่ผ่านการสอบระดับ N3 มาแล้ว - ผู้ที่ต้องการเข้าใจวิธีใช้งานไวยากรณ์อย่างถูกต้อง - ผู้ที่เตรียมตัววัดระดับ JLPT N2 
  ผู้เรียนต้องมีความรู้อะไรมาก่อน  มีความรู้ตัวตัวภาษาในระดับ N5-N4 เป็นอย่างดี และความรู้ในระดับ N3 พอสมควร   ตามคอนเซ็ปต์ของพี่กระต่ายที่ตั้งใจทำคอร์สเรียนระยะสั้น  เพื่อสร้างกำลังใจในการเรียนอย่างกระชับแต่ต่อเนื่อง ดังนั้น คอร์สตีสนิท N2 จึงถูกแบ่งออกเป็น 4 คอร์สย่อย ดังนี้ค่ะ คอร์สตีสนิท N2-01 เรียนบทที่ 1-4 คอร์สตีสนิท N2-02 เรียนบทที่ 5(1)-7(2) คอร์สตีสนิท N2-03 เรียนบทที่ 8-10(2) คอร์สตีสนิท N2-04 เรียนบทที่ 11-14","กระต่าย กนิฏฐกา (กระต่ายเซนเซ) (วิทยากรสอนภาษาญี่ปุ่น เจ้าของเพจ ""ญี่ปุ่นย่อยง่าย"")",1390 THB,408 mins,General,https://www.skilllane.com/courses/Japan-N2-04,SkillLane
skilllane_7758,ไก่ทอดสมุนไพร Cooking Skill by Wandee School,คอร์สสอนวิธีการทำ ไก่ทอดสมุนไพร  จากครัววันดี โรงเรียนเอกชนแห่งแรกที่สอนคหกรรมครบวงจรสำหรับบุคคลทั่วไปที่สนใจเรื่องอาหาร ที่มีผู้เรียนจาก 50 ประเทศทั่วโลก   ไก่ทอดสมุนไพร  เป็นเมนูอาหารไทยที่ได้รับความนิยมมายาวนาน ด้วยเสน่ห์ของกลิ่นหอมจากสมุนไพรสดและรสชาติกลมกล่อมที่ถูกใจทุกวัย โดยดั้งเดิมเป็นอาหารที่นิยมทำในครัวเรือนเพื่อเพิ่มรสชาติและกลิ่นหอมให้กับไก่ทอดธรรมดา โดยใช้สมุนไพรไทย เช่น ตะไคร้ ใบมะกรูด ข่า กระเทียม และพริกไทย มาหมักหรือทอดร่วมกันจนกรอบหอม   สิ่งที่คุณจะได้เรียนในคอร์สนี้  1. พื้นฐานการชั่ง วัด ตวง ส่วนผสมที่ถูกต้อง 2. วิธีการเลือกวัตถุดิบที่ถูกต้อง 3. ขั้นตอนการปรุง   คอร์สนี้เหมาะกับใคร  ทุกคนที่มีใจรักในการทำอาหาร,โรงเรียนสอนอาหารครัววันดี (Wandee Culinary Arts School) (โรงเรียนสอนอาหารชื่อดังของไทย),0 THB,18 mins,General,https://www.skilllane.com/courses/Fried-Chicken-Herb-by-wandee-school,SkillLane
skilllane_7759,บันไดความสำเร็จ,"คำอธิบายคอร์สออนไลน์  นี่คือบันได 7 ขั้นที่เราจะต้องก้าวขึ้นไปเพื่อคว้าเอา ""ความสำเร็จ"" มาเป็นของเราให้ได้! ทุกคนล้วนต้องการจะเป็นคนที่ประสบผลสำเร็จ แต่การที่จะประสบผลสำเร็จนั้นก็ไม่ใช่เรื่องที่ง่าย ทุกคนต้องพบเจอกับอุปสรรคและปัญหาต่างๆ ที่เข้ามาท้าทายกว่าจะไปถึงความสำเร็จตามที่ตั้งใจไว้ ซึ่งก็เหมือนกับการเดินขึ้นบันไดที่จะต้องก้าวขึ้นไปทีละก้าวๆ จากขั้นแรกไปจนถึงขั้นบนสุด บันไดแต่ละขั้นก็เปรียบเหมือนด่านที่เราต้องเอาชนะเพื่อก้าวผ่านไปสู่บันไดขั้นถัดไป เราจะได้เรียนรู้บทเรียนต่างๆ จากบันไดแต่ละขั้นและพัฒนาตัวเองขึ้นไปเรื่อยๆ จนกระทั่งสามารถก้าวขึ้นไปสู่จุดสูงสุดของบันไดได้สำเร็จ สิ่งที่สำคัญที่สุดก็คือ ""ใจ"" ของเราเองที่จะต้องไม่หมดแรงแล้วล้มเลิกไปกลางทางเสียก่อน มาเตรียมใจให้พร้อมแล้วก้าวขึ้นไปพิชิตขั้นบนสุดของบันไดแห่งความสำเร็จนี้ด้วยกันนะครับ   ประโยชน์ที่ผู้เรียนจะได้รับ  ผู้เรียนจะได้เรียนรู้ 7 บทเรียนที่จะนำพาตนเองไปสู่ความสำเร็จ   ใครควรเรียนคอร์สออนไลน์นี้  ทุกคน ทุกเพศ ทุกวัย สามารถเรียนได้   ผู้เรียนต้องมีความรู้อะไรมาก่อน  ไม่จำเป็นต้องมีความรู้อะไรมาก่อนก็สามารถเรียนได้",ภัทร หวังกิตติกุล (โค้ชต้นพืช นักพัฒนาบุคลากรผู้มีประสบการณ์มากกว่า 10 ปีในสายงานทรัพยากรบุคคลให้กับองค์กรชั้นนำทั้งของไทยและต่างชาติ),1500 THB,44 mins,General,https://www.skilllane.com/courses/7-steps-to-success,SkillLane
skilllane_7551,กลยุทธ์การขายงานโครงการ (Project Sales) ในประเทศไทย,คอร์สนี้จะพาผู้เรียนไปทำความเข้าใจกลยุทธ์การขายงานโครงการในประเทศไทย ซึ่งมีความแตกต่างจากการขายทั่วไป คอร์สเน้นการเรียนรู้เกี่ยวกับการวิเคราะห์โครงการ การเข้าใจ Stakeholder และการสร้างความสัมพันธ์ที่มีผลต่อการตัดสินใจของผู้ที่มีอำนาจ รวมถึงการวางแผนการเข้าหาแต่ละฝ่ายอย่างมีประสิทธิภาพ นอกจากนี้ยังมีการเรียนรู้เทคนิคการเสนอราคาและวิธีการปิดดีลอย่างมืออาชีพ ที่จะช่วยให้ผู้เรียนสามารถนำความรู้ไปใช้ในการขายโครงการในสภาพแวดล้อมที่มีการตัดสินใจที่ซับซ้อนได้อย่างมีประสิทธิภาพ   เนื้อหาภายในบทเรียน  Part 1: เข้าใจธรรมชาติของงานขายโปรเจกต์ในประเทศไทย Part 2: วางกลยุทธ์ก่อนลงสนามขายโปรเจกต์ Part 3: เทคนิคระหว่างการดำเนินโครงการและการเสนอราคา Part 4: การบริหารความสัมพันธ์และโอกาสระยะยาวหลังจบโปรเจกต์   ประโยชน์ที่ผู้เรียนจะได้รับ  - เข้าใจความแตกต่างระหว่างการขายงานโครงการและการขายทั่วไป - สามารถวางกลยุทธ์การขายและการติดต่อกับ Stakeholders ได้อย่างมีประสิทธิภาพ - เข้าใจวิธีการเสนอราคาและเทคนิคการปิดดีลที่เหมาะสมในงานโปรเจคท์ - สามารถสร้างและรักษาความสัมพันธ์ระยะยาวกับลูกค้าได้   คอร์สนี้เหมาะสำหรับใคร  - พนักงานขายที่ต้องการยกระดับทักษะการขายงานโครงการ - ผู้จัดการโครงการที่ต้องการเรียนรู้การขายและการบริหารโครงการ - บุคคลที่สนใจเรียนรู้กลยุทธ์การขายในตลาดที่มีการแข่งขันสูง,ศุภณัฏฐ์ หงษ์วัฒนาใจงาม (ที่ปรึกษาธุรกิจที่เชี่ยวชาญในด้านการบริหารกลยุทธ์ธุรกิจและด้านการขาย),0 THB,102 mins,General,https://www.skilllane.com/courses/ProjectSales-Strategies-in-Thailand,SkillLane
skilllane_7816,The Magic of Storytelling เวทมนตร์ของการเล่าเรื่อง,"คำอธิบายคอร์สออนไลน์  
 ในยุคที่ข้อมูลท่วมท้น (Information Overload) การสื่อสารในองค์กรไม่ใช่แค่การส่งต่อข้อเท็จจริงและตัวเลขอีกต่อไป แต่คือการสร้างความเข้าใจ, สร้างแรงบันดาลใจ, และผลักดันให้เกิดการลงมือทำ ไม่ว่าจะเป็นการนำเสนอโปรเจกต์ใหม่, การสื่อสารวิสัยทัศน์ของผู้นำ, การรายงานผลประกอบการ, หรือแม้แต่การให้ฟีดแบ็กกับทีมงาน คนส่วนใหญ่มักจดจำ “เรื่องราว” ได้ดีกว่า “ข้อมูล” ดิบๆ  “The Magic of Storytelling” ถูกออกแบบมาเพื่อเป็นเครื่องมือสำคัญสำหรับคนทำงานทุกคน เพราะการเล่าเรื่องคือ “ทักษะ” ที่สามารถเรียนรู้และฝึกฝนได้ ไม่ใช่ “พรสวรรค์” ที่มีมาแต่กำเนิด คอร์สนี้จะมอบโครงสร้างและเทคนิคที่นำไปใช้ได้จริง เพื่อเปลี่ยนทุกสารที่ต้องการสื่อออกไปให้กลายเป็นเรื่องเล่าที่ตรงใจผู้ฟัง เข้าถึงอารมณ์ และสร้างผลลัพธ์ที่ยอดเยี่ยมให้กับการทำงานในทุกสถานการณ์   
  ประโยชน์ที่ผู้เรียนจะได้รับ  
 - Transform Data to Story เปลี่ยนข้อมูล, ตัวเลข, และสถิติที่น่าเบื่อ ให้กลายเป็นเรื่องเล่าที่น่าติดตามและเข้าใจง่าย - Master Story Structures เข้าใจและเลือกใช้โครงสร้างการเล่าเรื่องที่เหมาะกับสถานการณ์ต่างๆ ได้อย่างมืออาชีพ - Build Emotional Connection สร้างการเชื่อมโยงทางอารมณ์กับผู้ฟัง ทำให้สารของคุณน่าเชื่อถือและจดจำได้นานขึ้น - Lead &amp; Inspire ใช้เรื่องเล่าเพื่อสื่อสารวิสัยทัศน์ สร้างแรงจูงใจ และนำทีมให้ขับเคลื่อนไปสู่เป้าหมายเดียวกัน - Persuade with Impact โน้มน้าวใจผู้บริหาร, ลูกค้า, และเพื่อนร่วมงาน ด้วยการนำเสนอที่ทรงพลังและมีชั้นเชิง - Boost Your Personal Brand สร้างเรื่องราวความเป็นตัวตน (Personal Story) ที่แข็งแกร่ง เพื่อสร้างความโดดเด่นในสายอาชีพ 
  ใครควรเรียนคอร์สออนไลน์นี้  
 - ผู้บริหาร / หัวหน้าทีม (Managers/Leaders) ที่ต้องการสื่อสารวิสัยทัศน์ สร้างแรงบันดาลใจ และนำการเปลี่ยนแปลงในองค์กร - ฝ่ายขายและการตลาด (Sales &amp; Marketing) ที่ต้องนำเสนอสินค้า บริการ หรือไอเดียให้โดนใจลูกค้า - ฝ่ายบุคคล (Human Resources) ที่ต้องสื่อสารวัฒนธรรมองค์กร, อบรมพนักงาน หรือให้ฟีดแบ็ก - นักวิเคราะห์ข้อมูล (Data Analysts) ที่ต้องการนำเสนอข้อมูลเชิงลึก (Insight) จากตัวเลขให้ผู้บริหารเข้าใจและเห็นภาพ - ผู้ที่ต้องนำเสนอผลงานบ่อยๆ และต้องการพัฒนาทักษะการนำเสนอให้โดดเด่นและน่าสนใจ - ทุกคนในองค์กร ที่ต้องการพัฒนาทักษะการสื่อสารเพื่อความก้าวหน้าในสายอาชีพ  
  ผู้เรียนต้องมีความรู้อะไรมาก่อน  ไม่จำเป็นต้องมีทักษะอะไรมาก่อน",Fastlearn10x (ฟาสเลิร์นเทนเอ็กซ์) (ผู้เชี่ยวชาญในการออกแบบและพัฒนาสื่อการเรียนรู้ดิจิทัล รวมถึงพัฒนาแพลตฟอร์มเรียนออนไลน์ให้กับลูกค้าองค์กรทั้งองค์กรในประเทศไทย และเอเซียตะวันออกเฉียงใต้),3990 THB,210 mins,General,https://www.skilllane.com/courses/The_Future_of_Service,SkillLane
